OTU	8121310M1	8121310M2	8121311M1	8121311M2	8121312M1	8121313M1	8121314M1	8121314M2	8121317M1	8121317M2	812132M1	812132M2	8121320M1	8121321M1	8121322M1	812133M1	812134M1	812136M2	812137M1	812137M2	812138M1	812139M1	812139M2
seq1777	0.0	0.0	0.0	3.0	0.0	3.0	1.0	6.0	2.0	2.0	1.0	0.0	11.0	9.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
seq3075	0.0	2.0	1.0	3.0	1.0	2.0	7.0	11.0	8.0	8.0	1.0	4.0	11.0	12.0	5.0	0.0	0.0	2.0	1.0	3.0	2.0	1.0	4.0
seq6066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
seq52413	4.0	6.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	10.0	2.0	1.0	1.0	4.0	5.0	1.0	1.0	6.0	3.0	2.0	1.0
seq7169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq20764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq5660	1.0	3.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0
seq20767	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
seq1812	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	4.0	1.0	0.0	0.0	10.0	13.0	7.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0
seq531	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	140.0	0.0	0.0	0.0	12.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0
seq6709	0.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	5.0	1.0	1.0	0.0	3.0	3.0	1.0	1.0	2.0	3.0	0.0	5.0
seq7009	2.0	11.0	1.0	11.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	3.0	4.0	8.0	33.0	6.0	2.0	1.0
seq77544	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	5.0	6.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
seq178	1.0	6.0	0.0	3.0	0.0	3.0	3.0	4.0	1.0	1.0	0.0	0.0	6.0	8.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
seq1384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
seq123035	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
