OTU_ID	M0	M1.5	M10	M11	M12	M13	M14	M15	M16	M17	M19	M20	M21	M22	M3.1	M3.2	M4	M5	M6	M7	M8.1	M8.2	M9	MEB	MSB
ID0000001M	19642	7876	173	325	325	246	152	119	132	159	177	140	171	285	6715	6372	4304	1570	339	232	295	250	243	504	0
ID0000002M	0	0	0	1	0	1	0	0	1	0	2	0	0	61	0	1	1	0	0	0	0	0	5	0	0
ID0000003M	1	0	4993	9152	3899	5763	3824	3010	2631	3659	4334	3987	8571	831	2	5	9	22	462	1025	1820	1073	7832	17	0
ID0000004M	8272	3761	6893	10243	10118	7102	4231	2387	2080	1093	1089	674	550	609	6433	6517	6357	8240	7295	3771	2889	3592	9297	259	0
ID0000005M	306	309	188	129	35	9	7	4	3	0	0	2	66	5	539	622	457	365	189	123	127	161	204	158	0
ID0000007M	2	0	0	3	8	13	18	30	52	25	76	94	2	114	0	2	0	1	0	0	2	0	0	0	0
ID0000008M	4464	2413	4818	1917	850	435	287	254	200	115	102	139	182	24	4712	5271	4522	4353	5942	2682	1546	2039	4934	62	1
ID0000010M	1865	1573	871	783	942	406	308	197	261	181	177	197	353	38	4930	4278	5248	1562	729	491	354	321	960	186	0
ID0000011M	612	462	5022	21234	31703	48781	67451	67963	56892	35029	31908	29731	13197	3535	940	745	1583	6690	3935	3348	2843	3571	5269	743	7
ID0000012M	106	33	306	156	65	83	16	15	4	8	2	3	0	13	38	266	388	137	359	233	311	306	342	7329	8722
ID0000013M	2	0	57	111	360	746	834	1657	22857	8195	14700	16014	13914	1515	14	8	17	38	15	6	38	12	38	163	0
ID0000014M	10	5	3	12	43	85	113	182	160	83	85	155	136	11	13	10	13	9	6	10	2	5	8	0	0
ID0000015M	0	0	196	167	160	86	73	54	41	16	12	7	13	5	0	0	0	8	48	130	195	174	188	0	0
ID0000017M	388	276	85	20	18	7	15	4	3	3	6	9	21	190	775	356	580	620	185	83	88	95	108	11	0
ID0000020M	53647	36678	19843	18181	14889	10943	8302	6934	5527	4478	3682	3353	2577	214	53389	36456	42845	29110	28792	21025	16538	16784	24923	1533	0
ID0000021M	14663	46625	886	755	659	310	239	262	76	98	131	210	356	918	27960	28282	11042	4248	3577	4336	4512	3612	2451	155	0
ID0000023M	62	50	0	0	0	0	0	0	0	0	0	0	0	0	258	689	1321	240	23	0	0	0	0	10	0
ID0000024M	339	93	1050	555	268	314	75	69	20	14	27	17	35	6	160	983	1778	482	1297	712	954	955	1275	25170	32584
ID0000027M	2	0	8	56	216	322	288	337	893	675	1269	873	675	45	2	0	1	7	3	1	13	9	8	13	0
ID0000028M	2	1	1078	2615	3395	2789	2512	1980	3195	3078	4209	4224	3420	307	8	10	18	81	384	657	679	953	988	65	0
ID0000029M	2501	1874	20320	28083	23694	23539	22869	22520	19253	16191	14719	12690	10805	555	3632	2319	5879	12875	14053	15260	16659	16878	25226	350	0
ID0000030M	839	482	41	8	3	3	3	9	7	1	10	3	34	71	985	971	1313	450	48	48	48	49	55	0	0
ID0000031M	36935	16399	853	285	182	213	151	208	177	144	260	202	144	12	16431	21879	17916	14886	10885	3362	1129	1443	1518	357	33
ID0000032M	364	274	462	286	449	84	112	79	272	76	100	138	225	773	250	648	94	193	601	564	880	1283	802	0	0
ID0000033M	0	1	7	62	335	811	751	939	969	412	322	292	385	0	1	0	0	0	0	0	0	0	5	140	0
ID0000034M	162	141	197	40	39	16	27	32	41	54	136	126	144	73	451	221	414	515	95	99	162	154	142	0	0
ID0000036M	145	113	817	298	234	79	79	58	47	106	36	73	73	123	265	139	333	609	307	605	1134	1257	820	1	0
ID0000038M	0	0	20	228	384	301	363	264	677	337	320	257	104	349	0	2	0	8	2	11	3	6	4	0	0
ID0000039M	618	302	3763	1181	807	620	294	242	81	32	48	24	72	24	437	2349	4008	973	3110	2527	2843	3031	3551	80146	89841
ID0000040M	5	2	281	24324	34093	43743	32272	29671	35133	44693	34329	41496	49780	3517	9	17	24	40	11	13	73	22	74	280	2
ID0000041M	4574	1449	1759	411	331	163	176	124	144	60	61	102	153	68	6024	5675	4120	1519	2790	967	726	968	1476	2929	0
ID0000043M	398	579	182	94	26	10	8	3	2	19	14	14	48	208	1248	1187	1672	1573	634	271	256	346	301	167	0
ID0000045M	0	0	0	1	0	6	9	20	157	193	140	221	153	41	0	0	0	0	0	1	0	0	0	0	0
ID0000046M	1	0	19	658	1669	2887	3540	3338	6026	4064	4605	4237	3177	759	1	3	15	15	7	14	9	5	16	65	0
ID0000047M	858	792	259	239	247	79	138	88	163	107	86	197	361	634	1004	395	630	240	357	466	542	734	413	54	0
ID0000048M	1	6	2	2	1	0	0	0	6	18	7	2	48	841	14	4	6	6	7	10	20	6	14	34	0
ID0000049M	0	0	0	2	1	8	21	35	85	149	197	283	31	203	0	0	3	0	0	0	0	0	1	56	0
ID0000050M	319	110	104	21	0	0	0	2	2	0	0	2	0	0	272	417	434	287	1061	679	105	117	459	56	0
ID0000051M	0	0	33	282	689	1390	2994	4667	7246	6172	5790	4926	4370	908	4	6	13	26	10	10	19	17	22	111	0
ID0000052M	465	225	2842	893	634	439	212	200	69	10	35	21	40	6	354	1766	2800	774	2561	2044	2209	2452	2783	63172	63869
ID0000053M	143	104	1972	552	340	173	133	145	123	85	124	62	44	157	102	144	128	364	833	919	1466	1491	1272	108	0
ID0000055M	3	6	3	1	0	0	0	0	0	0	0	0	0	1	9	13	8	8	67	166	37	56	14	45	0
ID0000056M	1	1	6	32	75	198	290	290	1345	1216	2482	3283	2806	544	1	0	0	4	1	1	3	1	3	323	0
ID0000057M	311	82	2218	516	638	269	234	170	61	33	13	37	23	8	473	491	397	305	2590	1232	703	889	1874	0	0
ID0000058M	0	1	0	2	0	7	4	35	542	1109	1792	1543	1205	60	0	0	0	3	0	0	1	0	0	69	0
ID0000059M	0	0	5	89	129	106	158	212	65	45	42	43	46	13	0	2	0	28	5	7	3	3	5	0	0
ID0000061M	30	20	1	6	5	1	3	1	0	1	2	1	2	10	43	38	43	21	18	9	13	11	10	2	3
ID0000062M	444	292	153	38	20	9	7	3	10	10	8	25	0	7	373	491	240	154	534	509	297	425	303	17	0
ID0000063M	0	0	1	0	0	1	12	19	488	1141	1672	1869	2530	50	0	0	0	0	0	0	2	0	4	0	0
ID0000064M	0	0	0	16	51	350	800	1365	407	374	376	624	293	100	0	0	0	0	0	1	0	0	0	0	0
ID0000065M	5057	2750	7465	2692	2237	1049	986	682	296	142	106	144	220	99	3994	3163	2884	3024	4250	3563	3407	4591	5457	68	0
ID0000067M	32	30	2260	238	130	54	40	16	11	13	8	13	0	25	169	227	1082	1391	6013	779	961	1041	2316	0	0
ID0000070M	1252	824	18	7	9	6	1	1	4	5	22	7	0	146	762	762	358	160	36	36	18	15	43	0	0
ID0000071M	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	10	27	80	65	114	108	99	128	0	0
ID0000072M	64	18	53	153	95	275	202	276	401	503	599	489	1165	323	570	851	1387	1435	276	133	69	41	163	30	0
ID0000074M	0	0	0	0	0	0	0	0	0	0	0	3	0	2121	0	0	0	0	0	0	0	0	0	0	0
ID0000075M	0	1	8	1	0	2	9	12	276	594	885	1248	760	133	0	1	0	0	2	0	0	0	5	72	0
ID0000077M	367	87	918	588	272	299	76	77	12	23	18	2	35	3	133	1010	1590	455	1130	694	1061	907	1143	24198	35489
ID0000078M	30	14	14	151	461	404	348	239	372	618	665	675	944	206	12	10	3	61	29	5	23	13	4	2	0
ID0000080M	6530	3671	742	337	371	182	138	87	109	43	54	82	52	18	4876	3219	3694	2034	2016	876	528	619	676	77	0
ID0000081M	33	16	440	1370	1224	1436	1051	837	860	799	1077	673	461	40	10	8	5	28	221	142	112	111	322	0	0
ID0000082M	10	37	38	28	16	3	8	5	3	3	11	7	0	9	220	257	139	239	96	51	41	65	109	0	0
ID0000083M	161	121	318	1948	2350	925	674	413	1056	1352	1739	1491	1320	118	431	522	778	1084	269	102	95	101	329	192	0
ID0000084M	0	0	3	1	2	17	48	62	72	57	50	82	72	17	0	1	2	2	0	0	1	2	0	0	0
ID0000085M	128	58	834	277	237	185	75	63	20	4	16	1	0	0	157	744	1203	311	909	527	663	785	1029	21630	20161
ID0000086M	3	0	0	1	2	1	0	0	0	6	0	0	39	0	3	0	2	0	0	0	0	0	0	0	0
ID0000087M	1	0	0	0	0	5	11	19	44	80	118	147	25	37	0	1	1	1	0	1	4	0	0	0	0
ID0000088M	0	0	16	19	17	73	185	227	2821	12498	12930	16496	14441	5164	3	3	4	8	4	4	24	1	9	185	0
ID0000089M	8	4	38	12	9	7	2	4	4	0	10	0	0	7	10	46	83	21	30	27	24	27	57	824	1021
ID0000091M	7	4	2370	3882	1501	405	160	32	45	34	30	38	35	30	18	14	38	228	1281	1056	967	1009	3144	149	0
ID0000092M	3123	2064	4405	3058	3010	1334	729	471	376	177	139	86	104	88	3015	1974	3153	4382	6910	5378	3408	4276	5763	427	0
ID0000093M	262	226	0	0	0	0	0	0	0	0	0	0	0	0	465	394	387	231	1	0	0	6	3	161	0
ID0000094M	0	0	1	12	9	39	87	176	2098	2673	3590	3238	2761	93	0	1	0	0	0	0	3	0	0	53	0
ID0000095M	574	361	143	40	19	8	5	7	0	0	0	0	0	4	1058	673	976	1245	214	73	65	75	102	16	0
ID0000099M	26387	15136	8804	5871	4020	2291	1761	1206	898	624	662	378	386	101	19874	17011	14998	12209	8919	6980	6275	8010	11975	322	73
ID0000100M	1	0	46	177	373	545	756	897	1577	1291	1168	960	1060	82	1	0	9	3	6	4	1	17	11	0	0
ID0000101M	0	0	9	5	1	2	2	1	0	0	0	0	0	1695	4	1	4	3	6	4	7	5	28	38	0
ID0000102M	4	0	60	337	1414	4198	3275	3271	4693	6197	7011	6930	8444	192	0	5	0	0	3	1	12	18	34	625	0
ID0000104M	26	17	22	279	638	2275	4336	4982	9259	6960	11946	8158	9047	324	21	11	16	47	17	12	15	17	21	10	0
